id,display-name,url
4598.stations.xmltv.tvmedia.ca,"FOX (WYZZ) Bloomington, IL HD",
8584.stations.xmltv.tvmedia.ca,"PBS (WTTW) Chicago, IL HD",www.networkchicago.com/wttw/
4583.stations.xmltv.tvmedia.ca,"PBS (WILL) Urbana, IL HD",www.will.uiuc.edu/
6115.stations.xmltv.tvmedia.ca,QVC HD,www.qvc.com
4604.stations.xmltv.tvmedia.ca,"Corner Store (WAOE) Central Illinois, IL HD",
14985.stations.xmltv.tvmedia.ca,HSN  - Home Shopping Network,www.hsn.com
5882.stations.xmltv.tvmedia.ca,NewsNation HD - Eastern Feed,www.wgnamerica.com
6039.stations.xmltv.tvmedia.ca,Golf Channel USA HD,www.thegolfchannel.com
6245.stations.xmltv.tvmedia.ca,ESPN U HD,www.espn.com
6246.stations.xmltv.tvmedia.ca,ESPN News HD,espn.go.com
3036.stations.xmltv.tvmedia.ca,ESPN HD,www.espn.com
3379.stations.xmltv.tvmedia.ca,ESPN2 HD,espn.go.com
14414.stations.xmltv.tvmedia.ca,NBC Sports Chicago Plus HD,
4020.stations.xmltv.tvmedia.ca,NBC Sports Chicago,
4500.stations.xmltv.tvmedia.ca,Big Ten Network HD,
3037.stations.xmltv.tvmedia.ca,TNT HD - East Feed,www.tntdrama.com
6090.stations.xmltv.tvmedia.ca,TBS - East HD,www.tbssuperstation.com
4724.stations.xmltv.tvmedia.ca,CNN HD,www.cnn.com
5490.stations.xmltv.tvmedia.ca,USA Network HD - East,www.usanetwork.com
5643.stations.xmltv.tvmedia.ca,Syfy HD - Eastern Feed,www.scifi.com
12597.stations.xmltv.tvmedia.ca,Motor Trend HD,www.motortrend.com
4466.stations.xmltv.tvmedia.ca,Discovery HD (US) - Eastern,www.discovery.com
5004.stations.xmltv.tvmedia.ca,TLC USA HD - Eastern,
4537.stations.xmltv.tvmedia.ca,Animal Planet US HD - East,Discovery.com
5828.stations.xmltv.tvmedia.ca,Science HD,www.sciencechannel.com/
4638.stations.xmltv.tvmedia.ca,Outdoor Channel US HD,www.outdoorchannel.com
17034.stations.xmltv.tvmedia.ca,A&E US HD - Eastern Feed,www.AETV.com
4660.stations.xmltv.tvmedia.ca,History Channel US HD - East,www.HistoryChannel.com
4436.stations.xmltv.tvmedia.ca,National Geographic US HD - Eastern,channel.nationalgeographic.com
6237.stations.xmltv.tvmedia.ca,Smithsonian Channel USA HD,
6107.stations.xmltv.tvmedia.ca,MGM HD (USA),
6220.stations.xmltv.tvmedia.ca,WE HD,www.wetv.com
6995.stations.xmltv.tvmedia.ca,MSNBC USA HD,www.msnbc.com
6119.stations.xmltv.tvmedia.ca,CNBC USA HD,www.cnbc.com
6207.stations.xmltv.tvmedia.ca,Fox News HD,www.foxnews.com
3690.stations.xmltv.tvmedia.ca,HGTV USA HD - Eastern,www.hgtv.com
